,Episode,Score,Moving Average Score (n=50)
402,402,15.0,15.44
403,403,18.0,15.48
404,404,20.0,15.52
405,405,16.0,15.54
406,406,13.0,15.4
407,407,12.0,15.3
408,408,5.0,15.08
409,409,13.0,14.96
410,410,17.0,14.94
411,411,16.0,14.88
412,412,14.0,14.76
413,413,14.0,14.7
414,414,18.0,14.7
415,415,17.0,14.7
416,416,18.0,14.7
417,417,15.0,14.64
418,418,15.0,14.64
419,419,15.0,14.7
420,420,17.0,14.76
421,421,14.0,14.86
422,422,20.0,14.9
423,423,18.0,14.96
424,424,19.0,15.0
425,425,16.0,15.08
426,426,17.0,15.12
427,427,19.0,15.2
428,428,18.0,15.4
429,429,18.0,15.5
430,430,18.0,15.58
431,431,19.0,15.76
432,432,18.0,15.86
433,433,14.0,15.84
434,434,16.0,15.86
435,435,20.0,15.98
436,436,15.0,15.94
437,437,17.0,16.06
438,438,16.0,16.14
439,439,18.0,16.26
440,440,18.0,16.24
441,441,17.0,16.3
442,442,12.0,16.34
443,443,14.0,16.32
444,444,16.0,16.26
445,445,18.0,16.24
446,446,18.0,16.32
447,447,18.0,16.36
448,448,15.0,16.4
449,449,16.0,16.36
450,450,19.0,16.34
451,451,19.0,16.36
452,452,16.0,16.38
453,453,17.0,16.36
454,454,12.0,16.2
455,455,20.0,16.28
456,456,17.0,16.36
457,457,16.0,16.44
458,458,17.0,16.68
459,459,17.0,16.76
460,460,16.0,16.74
461,461,17.0,16.76
462,462,21.0,16.9
463,463,20.0,17.02
464,464,18.0,17.02
465,465,15.0,16.98
466,466,20.0,17.02
467,467,18.0,17.08
468,468,19.0,17.16
469,469,19.0,17.24
470,470,1.0,16.92
471,471,18.0,17.0
472,472,17.0,16.94
473,473,10.0,16.78
474,474,18.0,16.76
475,475,10.0,16.64
476,476,13.0,16.56
477,477,12.0,16.42
478,478,18.0,16.42
479,479,18.0,16.42
480,480,17.0,16.4
481,481,18.0,16.38
482,482,18.0,16.38
483,483,14.0,16.38
484,484,12.0,16.3
485,485,19.0,16.28
486,486,18.0,16.34
487,487,12.0,16.24
488,488,14.0,16.2
489,489,18.0,16.2
490,490,16.0,16.16
491,491,17.0,16.16
492,492,12.0,16.16
493,493,17.0,16.22
494,494,9.0,16.08
495,495,16.0,16.04
496,496,17.0,16.02
497,497,20.0,16.06
498,498,19.0,16.14
499,499,20.0,16.22
500,500,18.0,16.2
501,501,18.0,16.18
502,502,21.0,16.28
503,503,18.0,16.3
504,504,11.0,16.28
505,505,20.0,16.28
506,506,18.0,16.3
507,507,19.0,16.36
508,508,17.0,16.36
509,509,19.0,16.4
510,510,11.0,16.3
511,511,16.0,16.28
512,512,18.0,16.22
513,513,16.0,16.14
514,514,17.0,16.12
515,515,19.0,16.2
516,516,15.0,16.1
517,517,14.0,16.02
518,518,19.0,16.02
519,519,20.0,16.04
520,520,13.0,16.28
521,521,21.0,16.34
522,522,11.0,16.22
523,523,18.0,16.38
524,524,15.0,16.32
525,525,17.0,16.46
526,526,12.0,16.44
527,527,17.0,16.54
528,528,18.0,16.54
529,529,17.0,16.52
530,530,19.0,16.56
531,531,17.0,16.54
532,532,20.0,16.58
533,533,19.0,16.68
534,534,17.0,16.78
535,535,13.0,16.66
536,536,18.0,16.66
537,537,18.0,16.78
538,538,17.0,16.84
539,539,19.0,16.86
540,540,14.0,16.82
541,541,17.0,16.82
542,542,17.0,16.92
543,543,17.0,16.92
544,544,10.0,16.94
545,545,14.0,16.9
546,546,20.0,16.96
547,547,19.0,16.94
548,548,19.0,16.94
549,549,20.0,16.94
550,550,18.0,16.94
551,551,21.0,17.0
552,552,20.0,16.98
553,553,12.0,16.86
554,554,18.0,17.0
555,555,19.0,16.98
556,556,15.0,16.92
557,557,16.0,16.86
558,558,13.0,16.78
559,559,18.0,16.76
560,560,17.0,16.88
561,561,18.0,16.92
562,562,21.0,16.98
563,563,16.0,16.98
564,564,19.0,17.02
565,565,17.0,16.98
566,566,12.0,16.92
567,567,19.0,17.02
568,568,11.0,16.86
569,569,11.0,16.68
570,570,19.0,16.8
571,571,17.0,16.72
572,572,20.0,16.9
573,573,19.0,16.92
574,574,11.0,16.84
575,575,14.0,16.78
576,576,14.0,16.82
577,577,19.0,16.86
578,578,16.0,16.82
579,579,14.0,16.76
580,580,10.0,16.58
581,581,20.0,16.64
582,582,19.0,16.62
583,583,18.0,16.6
584,584,21.0,16.68
585,585,17.0,16.76
586,586,19.0,16.78
587,587,20.0,16.82
588,588,17.0,16.82
589,589,17.0,16.78
590,590,18.0,16.86
591,591,20.0,16.92
592,592,17.0,16.92
593,593,20.0,16.98
594,594,19.0,17.16
595,595,20.0,17.28
596,596,18.0,17.24
597,597,19.0,17.24
598,598,19.0,17.24
599,599,20.0,17.24
600,600,15.0,17.18
601,601,20.0,17.16
602,602,14.0,17.04
603,603,21.0,17.22
604,604,19.0,17.24
605,605,17.0,17.2
606,606,18.0,17.26
607,607,20.0,17.34
608,608,21.0,17.5
609,609,20.0,17.54
610,610,17.0,17.54
611,611,13.0,17.44
612,612,19.0,17.4
613,613,20.0,17.48
614,614,19.0,17.48
615,615,20.0,17.54
616,616,12.0,17.54
617,617,20.0,17.56
618,618,12.0,17.58
619,619,13.0,17.62
620,620,14.0,17.52
621,621,12.0,17.42
622,622,19.0,17.4
623,623,19.0,17.4
624,624,21.0,17.6
625,625,18.0,17.68
626,626,18.0,17.76
627,627,21.0,17.8
628,628,19.0,17.86
629,629,17.0,17.92
630,630,19.0,18.1
631,631,12.0,17.94
632,632,21.0,17.98
633,633,19.0,18.0
634,634,17.0,17.92
635,635,16.0,17.9
636,636,18.0,17.88
637,637,21.0,17.9
638,638,16.0,17.88
639,639,19.0,17.92
640,640,17.0,17.9
641,641,19.0,17.88
642,642,18.0,17.9
643,643,17.0,17.84
644,644,20.0,17.86
645,645,13.0,17.72
646,646,14.0,17.64
647,647,21.0,17.68
648,648,17.0,17.64
649,649,16.0,17.56
650,650,17.0,17.6
651,651,19.0,17.58
652,652,16.0,17.62
653,653,17.0,17.54
654,654,15.0,17.46
655,655,16.0,17.44
656,656,16.0,17.4
657,657,18.0,17.36
658,658,20.0,17.34
659,659,17.0,17.28
660,660,17.0,17.28
661,661,18.0,17.38
662,662,16.0,17.32
663,663,18.0,17.28
664,664,17.0,17.24
665,665,19.0,17.22
666,666,21.0,17.4
667,667,16.0,17.32
668,668,17.0,17.42
669,669,21.0,17.58
670,670,18.0,17.66
671,671,18.0,17.78
672,672,21.0,17.82
673,673,21.0,17.86
674,674,15.0,17.74
675,675,19.0,17.76
676,676,17.0,17.74
677,677,21.0,17.74
678,678,18.0,17.72
679,679,13.0,17.64
680,680,14.0,17.54
681,681,13.0,17.56
682,682,19.0,17.52
683,683,19.0,17.52
684,684,19.0,17.56
685,685,18.0,17.6
686,686,16.0,17.56
687,687,11.0,17.36
688,688,17.0,17.38
689,689,21.0,17.42
690,690,14.0,17.36
691,691,20.0,17.38
692,692,21.0,17.44
693,693,21.0,17.52
694,694,17.0,17.46
695,695,21.0,17.62
696,696,20.0,17.74
697,697,15.0,17.62
698,698,21.0,17.7
699,699,18.0,17.74
700,700,21.0,17.82
701,701,20.0,17.84
702,702,19.0,17.9
703,703,15.0,17.86
704,704,20.0,17.96
705,705,13.0,17.9
706,706,18.0,17.94
707,707,15.0,17.88
708,708,20.0,17.88
709,709,21.0,17.96
710,710,15.0,17.92
711,711,14.0,17.84
712,712,20.0,17.92
713,713,16.0,17.88
714,714,15.0,17.84
715,715,18.0,17.82
716,716,17.0,17.74
717,717,18.0,17.78
718,718,15.0,17.74
719,719,20.0,17.72
720,720,12.0,17.6
721,721,15.0,17.54
722,722,11.0,17.34
723,723,16.0,17.24
724,724,20.0,17.34
725,725,17.0,17.3
726,726,17.0,17.3
727,727,12.0,17.12
728,728,20.0,17.16
729,729,17.0,17.24
730,730,19.0,17.34
731,731,14.0,17.36
732,732,18.0,17.34
733,733,19.0,17.34
734,734,16.0,17.28
735,735,16.0,17.24
736,736,14.0,17.2
737,737,15.0,17.28
738,738,19.0,17.32
739,739,18.0,17.26
740,740,16.0,17.3
741,741,17.0,17.24
742,742,15.0,17.12
743,743,17.0,17.04
744,744,20.0,17.1
745,745,20.0,17.08
746,746,19.0,17.06
747,747,19.0,17.14
748,748,18.0,17.08
749,749,17.0,17.06
750,750,16.0,16.96
