,Episode,Score,Moving Average Score (n=50)
431,431,17.0,12.54
432,432,15.0,12.72
433,433,15.0,12.72
434,434,19.0,12.84
435,435,15.0,12.98
436,436,11.0,13.02
437,437,9.0,13.1
438,438,12.0,13.32
439,439,18.0,13.48
440,440,17.0,13.8
441,441,15.0,13.78
442,442,17.0,13.84
443,443,20.0,13.98
444,444,16.0,14.0
445,445,17.0,14.08
446,446,13.0,14.18
447,447,16.0,14.32
448,448,12.0,14.16
449,449,17.0,14.16
450,450,9.0,13.94
451,451,16.0,13.98
452,452,13.0,14.06
453,453,14.0,14.16
454,454,18.0,14.16
455,455,17.0,14.22
456,456,12.0,14.24
457,457,20.0,14.52
458,458,20.0,14.68
459,459,19.0,14.7
460,460,17.0,14.74
461,461,11.0,14.72
462,462,19.0,14.76
463,463,14.0,14.76
464,464,18.0,14.78
465,465,17.0,14.8
466,466,15.0,14.92
467,467,13.0,14.86
468,468,16.0,14.88
469,469,17.0,14.84
470,470,15.0,14.84
471,471,20.0,15.02
472,472,17.0,15.2
473,473,19.0,15.44
474,474,17.0,15.6
475,475,19.0,15.68
476,476,18.0,15.72
477,477,18.0,15.76
478,478,18.0,15.86
479,479,17.0,15.92
480,480,14.0,15.96
481,481,19.0,16.0
482,482,19.0,16.08
483,483,19.0,16.16
484,484,18.0,16.14
485,485,16.0,16.16
486,486,19.0,16.32
487,487,12.0,16.38
488,488,17.0,16.48
489,489,19.0,16.5
490,490,17.0,16.5
491,491,18.0,16.56
492,492,20.0,16.62
493,493,19.0,16.6
494,494,17.0,16.62
495,495,16.0,16.6
496,496,10.0,16.54
497,497,17.0,16.56
498,498,17.0,16.66
499,499,9.0,16.5
500,500,15.0,16.62
501,501,17.0,16.64
502,502,13.0,16.64
503,503,20.0,16.76
504,504,11.0,16.62
505,505,19.0,16.66
506,506,16.0,16.74
507,507,16.0,16.66
508,508,14.0,16.54
509,509,7.0,16.3
510,510,2.0,16.0
511,511,13.0,16.04
512,512,6.0,15.78
513,513,14.0,15.78
514,514,7.0,15.56
515,515,11.0,15.44
516,516,8.0,15.3
517,517,14.0,15.32
518,518,12.0,15.24
519,519,16.0,15.22
520,520,14.0,15.2
521,521,14.0,15.08
522,522,15.0,15.04
523,523,15.0,14.96
524,524,17.0,14.96
525,525,19.0,14.96
526,526,19.0,14.98
527,527,18.0,14.98
528,528,16.0,14.94
529,529,16.0,14.92
530,530,17.0,14.98
531,531,13.0,14.86
532,532,17.0,14.82
533,533,19.0,14.82
534,534,20.0,14.86
535,535,11.0,14.76
536,536,19.0,14.76
537,537,15.0,14.82
538,538,10.0,14.68
539,539,11.0,14.52
540,540,16.0,14.5
541,541,12.0,14.38
542,542,18.0,14.34
543,543,19.0,14.34
544,544,20.0,14.4
545,545,16.0,14.4
546,546,13.0,14.46
547,547,10.0,14.32
548,548,14.0,14.26
549,549,15.0,14.38
550,550,21.0,14.5
551,551,19.0,14.54
552,552,18.0,14.64
553,553,16.0,14.56
554,554,18.0,14.7
555,555,14.0,14.6
556,556,19.0,14.66
557,557,20.0,14.74
558,558,9.0,14.64
559,559,21.0,14.92
560,560,20.0,15.28
561,561,18.0,15.38
562,562,21.0,15.68
563,563,20.0,15.8
564,564,18.0,16.02
565,565,19.0,16.18
566,566,13.0,16.28
567,567,8.0,16.16
568,568,13.0,16.18
569,569,20.0,16.26
570,570,19.0,16.36
571,571,20.0,16.48
572,572,18.0,16.54
573,573,20.0,16.64
574,574,19.0,16.68
575,575,18.0,16.66
576,576,12.0,16.52
577,577,16.0,16.48
578,578,18.0,16.52
579,579,16.0,16.52
580,580,19.0,16.56
581,581,14.0,16.58
582,582,17.0,16.58
583,583,12.0,16.44
584,584,11.0,16.26
585,585,14.0,16.32
586,586,19.0,16.32
587,587,15.0,16.32
588,588,13.0,16.38
589,589,19.0,16.54
590,590,12.0,16.46
591,591,13.0,16.48
592,592,14.0,16.4
593,593,12.0,16.26
594,594,15.0,16.16
595,595,10.0,16.04
596,596,18.0,16.14
597,597,19.0,16.32
598,598,16.0,16.36
599,599,13.0,16.32
600,600,15.0,16.2
601,601,14.0,16.1
602,602,14.0,16.02
603,603,19.0,16.08
604,604,15.0,16.02
605,605,15.0,16.04
606,606,18.0,16.02
607,607,13.0,15.88
608,608,6.0,15.82
609,609,15.0,15.7
610,610,16.0,15.62
611,611,19.0,15.64
612,612,20.0,15.62
613,613,12.0,15.46
614,614,17.0,15.44
615,615,14.0,15.34
616,616,17.0,15.42
617,617,18.0,15.62
618,618,18.0,15.72
619,619,19.0,15.7
620,620,19.0,15.7
621,621,19.0,15.68
622,622,15.0,15.62
623,623,19.0,15.6
624,624,9.0,15.4
625,625,16.0,15.36
626,626,19.0,15.5
627,627,13.0,15.44
628,628,20.0,15.48
629,629,20.0,15.56
630,630,17.0,15.52
631,631,17.0,15.58
632,632,18.0,15.6
633,633,17.0,15.7
634,634,9.0,15.66
635,635,18.0,15.74
636,636,15.0,15.66
637,637,18.0,15.72
638,638,17.0,15.8
639,639,17.0,15.76
640,640,19.0,15.9
641,641,16.0,15.96
642,642,14.0,15.96
643,643,18.0,16.08
644,644,15.0,16.08
645,645,19.0,16.26
646,646,14.0,16.18
647,647,21.0,16.22
648,648,17.0,16.24
649,649,20.0,16.38
650,650,19.0,16.46
651,651,20.0,16.58
652,652,19.0,16.68
653,653,19.0,16.68
654,654,17.0,16.72
655,655,20.0,16.82
656,656,19.0,16.84
657,657,18.0,16.94
658,658,17.0,17.16
659,659,17.0,17.2
660,660,16.0,17.2
661,661,17.0,17.16
662,662,15.0,17.06
663,663,17.0,17.16
664,664,19.0,17.2
665,665,17.0,17.26
666,666,18.0,17.28
667,667,19.0,17.3
668,668,19.0,17.32
669,669,16.0,17.26
670,670,17.0,17.22
671,671,19.0,17.22
672,672,13.0,17.18
673,673,15.0,17.1
674,674,15.0,17.22
675,675,16.0,17.22
676,676,17.0,17.18
677,677,19.0,17.3
678,678,20.0,17.3
679,679,18.0,17.26
680,680,17.0,17.26
681,681,15.0,17.22
682,682,20.0,17.26
683,683,20.0,17.32
684,684,17.0,17.48
685,685,17.0,17.46
686,686,17.0,17.5
687,687,16.0,17.46
688,688,17.0,17.46
689,689,21.0,17.54
690,690,16.0,17.48
691,691,15.0,17.46
