,0
786,17.36
787,17.34
788,17.34
789,17.36
790,17.32
791,17.38
792,17.46
793,17.38
794,17.36
795,17.34
796,17.34
797,17.3
798,17.26
799,17.26
800,17.14
