,Episode,Score,Moving Average Score (n=50)
373,373,14.0,16.92
374,374,18.0,17.0
375,375,13.0,16.92
376,376,15.0,16.84
377,377,13.0,16.8
378,378,17.0,16.8
379,379,18.0,16.78
380,380,11.0,16.68
381,381,18.0,16.68
382,382,20.0,16.7
383,383,16.0,16.62
384,384,18.0,16.6
385,385,18.0,16.56
386,386,15.0,16.5
387,387,13.0,16.4
388,388,18.0,16.4
389,389,18.0,16.44
390,390,16.0,16.46
391,391,17.0,16.54
392,392,19.0,16.52
393,393,17.0,16.5
394,394,17.0,16.58
395,395,11.0,16.42
396,396,16.0,16.36
397,397,13.0,16.28
398,398,17.0,16.34
399,399,16.0,16.32
400,400,17.0,16.34
401,401,15.0,16.24
402,402,18.0,16.3
403,403,18.0,16.32
404,404,18.0,16.34
405,405,17.0,16.36
406,406,19.0,16.4
407,407,16.0,16.36
408,408,17.0,16.44
409,409,19.0,16.44
410,410,16.0,16.4
411,411,12.0,16.24
412,412,20.0,16.32
413,413,17.0,16.36
414,414,19.0,16.44
415,415,15.0,16.42
416,416,17.0,16.44
417,417,12.0,16.32
418,418,19.0,16.34
419,419,15.0,16.3
420,420,17.0,16.3
421,421,17.0,16.34
422,422,17.0,16.38
423,423,14.0,16.38
424,424,20.0,16.42
425,425,16.0,16.48
426,426,17.0,16.52
427,427,21.0,16.68
428,428,16.0,16.66
429,429,19.0,16.68
430,430,15.0,16.76
431,431,17.0,16.74
432,432,18.0,16.7
433,433,17.0,16.72
434,434,15.0,16.66
435,435,14.0,16.58
436,436,14.0,16.56
437,437,19.0,16.68
438,438,19.0,16.7
439,439,19.0,16.72
440,440,17.0,16.74
441,441,21.0,16.82
442,442,21.0,16.86
443,443,19.0,16.9
444,444,12.0,16.8
445,445,20.0,16.98
446,446,21.0,17.08
447,447,18.0,17.18
448,448,21.0,17.26
449,449,19.0,17.32
450,450,20.0,17.38
451,451,21.0,17.5
452,452,18.0,17.5
453,453,21.0,17.56
454,454,17.0,17.54
455,455,8.0,17.36
456,456,19.0,17.36
457,457,21.0,17.46
458,458,9.0,17.3
459,459,10.0,17.12
460,460,20.0,17.2
461,461,17.0,17.3
462,462,21.0,17.32
463,463,17.0,17.32
464,464,21.0,17.36
465,465,21.0,17.48
466,466,19.0,17.52
467,467,19.0,17.66
468,468,15.0,17.58
469,469,21.0,17.7
470,470,16.0,17.68
471,471,17.0,17.68
472,472,16.0,17.66
473,473,12.0,17.62
474,474,19.0,17.6
475,475,17.0,17.62
476,476,19.0,17.66
477,477,19.0,17.62
478,478,18.0,17.66
479,479,21.0,17.7
480,480,17.0,17.74
481,481,17.0,17.74
482,482,17.0,17.72
483,483,19.0,17.76
484,484,16.0,17.78
485,485,16.0,17.82
486,486,21.0,17.96
487,487,18.0,17.94
488,488,18.0,17.92
489,489,19.0,17.92
490,490,16.0,17.9
491,491,16.0,17.8
492,492,19.0,17.76
493,493,17.0,17.72
494,494,19.0,17.86
495,495,19.0,17.84
496,496,18.0,17.78
497,497,16.0,17.74
498,498,20.0,17.72
499,499,16.0,17.66
500,500,17.0,17.6
501,501,16.0,17.5
