,Episode,Score,Moving Average Score (n=50)
319,319,14.0,13.08
320,320,13.0,13.08
321,321,11.0,13.06
322,322,12.0,13.0
323,323,17.0,13.16
324,324,19.0,13.3
325,325,17.0,13.44
326,326,18.0,13.56
327,327,16.0,13.58
328,328,16.0,13.68
329,329,13.0,13.7
330,330,17.0,13.8
331,331,16.0,13.88
332,332,15.0,13.9
333,333,15.0,13.88
334,334,16.0,14.0
335,335,11.0,14.02
336,336,16.0,14.2
337,337,14.0,14.26
338,338,13.0,14.24
339,339,20.0,14.42
340,340,13.0,14.38
341,341,16.0,14.44
342,342,19.0,14.52
343,343,17.0,14.72
344,344,19.0,14.88
345,345,12.0,14.9
346,346,16.0,14.88
347,347,16.0,15.0
348,348,18.0,15.04
349,349,13.0,15.0
350,350,11.0,14.98
351,351,15.0,15.0
352,352,16.0,15.14
353,353,14.0,15.14
354,354,16.0,15.16
355,355,19.0,15.18
356,356,20.0,15.28
357,357,17.0,15.4
358,358,17.0,15.44
359,359,17.0,15.46
360,360,17.0,15.46
361,361,17.0,15.52
362,362,17.0,15.52
363,363,13.0,15.5
364,364,17.0,15.56
365,365,16.0,15.5
366,366,16.0,15.68
367,367,19.0,15.72
368,368,21.0,15.86
369,369,14.0,15.86
370,370,10.0,15.8
371,371,16.0,15.9
372,372,15.0,15.96
373,373,11.0,15.84
374,374,16.0,15.78
375,375,17.0,15.78
376,376,14.0,15.7
377,377,18.0,15.74
378,378,18.0,15.78
379,379,20.0,15.92
380,380,18.0,15.94
381,381,20.0,16.02
382,382,19.0,16.1
383,383,18.0,16.16
384,384,16.0,16.16
385,385,15.0,16.24
386,386,19.0,16.3
387,387,13.0,16.28
388,388,12.0,16.26
389,389,18.0,16.22
390,390,17.0,16.3
391,391,17.0,16.32
392,392,15.0,16.24
393,393,21.0,16.32
394,394,19.0,16.32
395,395,18.0,16.44
396,396,20.0,16.52
397,397,14.0,16.48
398,398,21.0,16.54
399,399,14.0,16.56
400,400,18.0,16.7
401,401,20.0,16.8
402,402,19.0,16.86
403,403,17.0,16.92
404,404,20.0,17.0
405,405,15.0,16.92
406,406,18.0,16.88
407,407,16.0,16.86
408,408,20.0,16.92
409,409,19.0,16.96
